"DemoCount","DeveloperCount","DLCCount","Metacritic","MovieCount","PackageCount","PublisherCount","ScreenshotCount","SteamSpyOwners","SteamSpyPlayersEstimate","AchievementCount","AchievementHighlightedCount","ControllerSupport","IsFree","FreeVerAvail","PurchaseAvail","SubscriptionAvail","PlatformWindows","PlatformLinux","PlatformMac","PCReqsHaveMin","PCReqsHaveRec","LinuxReqsHaveMin","LinuxReqsHaveRec","MacReqsHaveMin","MacReqsHaveRec","CategorySinglePlayer","CategoryMultiplayer","CategoryCoop","CategoryMMO","CategoryInAppPurchase","CategoryIncludeSrcSDK","CategoryIncludeLevelEditor","CategoryVRSupport","GenreIsIndie","GenreIsAction","GenreIsAdventure","GenreIsCasual","GenreIsStrategy","GenreIsRPG","GenreIsSimulation","GenreIsEarlyAccess","GenreIsFreeToPlay","GenreIsSports","GenreIsRacing","GenreIsMassivelyMultiplayer","PriceInitial","PriceFinal","SupportEmail","SupportURL","AboutText","Background","ShortDescrip","DetailedDescrip","DRMNotice","ExtUserAcctNotice","LegalNotice","SupportedLanguages","Website","PCMinReqsText","PCRecReqsText","LinuxMinReqsText","LinuxRecReqsText","MacMinReqsText","MacRecReqsText","Recommendations","Disapproval","Reviews","Day","Month","Year","AgeRating","NoCategory"
0,1,0,88,0,1,1,13,13033334,9140731,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,0,0,1,0,1,1,1,10,0,0,1,0,1,0,1,224842,5832,230674,1,11,2000,4,0
0,1,0,0,0,1,1,5,5399140,753627,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,5,0,0,1,0,1,0,1,6779,1038,7817,1,4,1999,4,0
0,1,0,79,0,1,1,5,7621102,1709740,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,5,0,0,1,0,1,0,1,5889,662,6551,1,5,2003,4,0
0,1,0,0,0,1,1,4,7498965,789676,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,5,0,0,1,0,1,0,1,2325,498,2823,1,6,2001,4,0
0,1,0,0,0,1,1,5,5399499,705741,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,4,0,0,1,0,1,0,1,18977,956,19933,1,11,1999,4,0
0,1,0,0,0,1,1,4,7488563,843481,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,5,0,0,1,0,1,0,1,4463,981,5444,1,11,2000,4,0
0,1,1,96,0,1,1,11,5927504,2268772,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,0,0,1,0,1,1,1,10,0,0,1,0,1,0,1,108264,3783,112047,8,11,1998,4,0
0,1,0,65,0,1,1,8,10489261,4127910,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,0,0,1,0,1,1,1,10,0,0,1,1,1,1,1,21908,2101,24009,1,3,2004,4,0
0,1,0,65,0,1,1,8,10489261,1870437,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,1,0,0,0,1,0,1,1,1,10,0,0,1,1,1,1,1,13442,1535,14977,1,3,2004,4,0
0,1,0,71,0,1,1,5,5368650,662517,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,4.99,1,1,0,0,1,0,1,1,1,3,0,0,1,0,1,0,1,13474,1190,14664,1,6,2001,4,0
