"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",309.322741127785,12.1757630717585,25.4047930552505,3.25033237232651e-135
"DemoCount",-0.0977264836004456,0.0283706923628252,-3.44462808135409,0.000575821866448906
"DeveloperCount",0.0456688967823453,0.0222033322022358,2.05684878136204,0.0397445913681416
"DLCCount",0.00329753579216086,0.000843754426689419,3.90817006448094,9.4037762614787e-05
"Metacritic",0.0062377004169032,0.000325299865825049,19.1752320619091,1.49549137850345e-79
"MovieCount",0.0409263059680566,0.00749966662519751,5.45708336295266,5.03716237835018e-08
"PackageCount",0.153574918095606,0.0125447510066365,12.2421655092525,4.77153909689542e-34
"PublisherCount",0.0669327438355398,0.0318977245464782,2.09835481330375,0.0359161750770986
"ScreenshotCount",0.00176097778564697,0.0013290905099345,1.32494948424073,0.185239156439642
"AchievementCount",0.000394033846690979,0.000195311683486603,2.0174617291546,0.0436924903283078
"AchievementHighlightedCount",0.00576578886489209,0.00203420598854753,2.8344174077518,0.00460651597197853
"ControllerSupport",-0.00800261356702509,0.0215067542383416,-0.372097689792645,0.709833464159196
"IsFree",0.728065048329324,0.0642893469776908,11.3248163584858,1.98520666407233e-29
"FreeVerAvail",0.121988856988546,0.208671298657244,0.584598158795767,0.558840272490205
"PurchaseAvail",-0.157538197158514,0.0473150940858125,-3.3295547689876,0.000875179238305188
"SubscriptionAvail",-0.791874009056929,0.282265951353871,-2.80541810040763,0.00504156976824093
"PlatformWindows",0.545783303290135,0.651998809534192,0.837092484386681,0.402574449046352
"PlatformLinux",0.059743428439434,0.0482172946878668,1.23904563344296,0.215377828627636
"PlatformMac",0.162927070079905,0.0474701916961703,3.43219743292188,0.000602818793261607
"PCReqsHaveMin",-0.0825938898039668,0.195481772571165,-0.422514532775166,0.672664873921129
"PCReqsHaveRec",0.0859034700832625,0.0201110658763514,4.27145287134066,1.97251524908449e-05
"LinuxReqsHaveMin",-0.0134897692420235,0.0502500178136686,-0.26845302407742,0.788360003884265
"LinuxReqsHaveRec",-0.0719567173872949,0.0454667770139811,-1.582621907974,0.113561202615398
"MacReqsHaveMin",-0.0530435124987608,0.0489685917187987,-1.08321498815735,0.278757221366899
"MacReqsHaveRec",-0.0523851664977806,0.0396332909870995,-1.32174657196224,0.18630373998633
"CategorySinglePlayer",-0.128719484259006,0.0445920298759124,-2.88660293369012,0.00390837612817081
"CategoryMultiplayer",-0.0110138968859391,0.0228006221489556,-0.483052471725803,0.629076382081011
"CategoryCoop",0.113455830380485,0.0306254165223593,3.70462979001941,0.000213633553548162
"CategoryMMO",-0.272110327051901,0.0985391787501699,-2.76144301691201,0.00577243360963301
"CategoryInAppPurchase",-0.13010698933649,0.0738902445028919,-1.76081416717193,0.0783215986148189
"CategoryIncludeSrcSDK",0.416085803300435,0.225267767387171,1.84707207838263,0.0647866723381043
"CategoryIncludeLevelEditor",0.0837992753878247,0.0363511491635817,2.30527169885949,0.0211858509772129
"CategoryVRSupport",0.0150767909803415,0.0593255560311337,0.254136530510212,0.79939892789719
"GenreIsIndie",0.0655343598084752,0.02067117637122,3.17032560854724,0.00153046439011884
"GenreIsAction",0.120727518797028,0.0183843158967996,6.56687578013414,5.57686501220114e-11
"GenreIsAdventure",0.0508691097624382,0.0183043146737115,2.77907753823178,0.00546858286582472
"GenreIsCasual",-0.0577929972645297,0.0192938477147986,-2.99541066762965,0.00275212934479597
"GenreIsStrategy",0.0502910105706372,0.0212275176797556,2.36914232409751,0.0178613659080504
"GenreIsRPG",0.151167421402586,0.0225345789413385,6.70824255452482,2.15324302346605e-11
"GenreIsSimulation",0.0537130914129868,0.0226991588689672,2.36630316229117,0.0179988119632631
"GenreIsEarlyAccess",-0.161100437084301,0.0297518525131776,-5.41480356602827,6.37774324506077e-08
"GenreIsFreeToPlay",0.490054730048795,0.065775434332158,7.45042180298009,1.06408774262681e-13
"GenreIsSports",-0.0351419837286664,0.0424160071182219,-0.828507587494472,0.40741657355344
"GenreIsRacing",-0.0640842834381829,0.0430719203937932,-1.48784365434093,0.136845508222644
"GenreIsMassivelyMultiplayer",0.174431655748606,0.0921343142870064,1.89323225660785,0.0583758192001858
"PriceInitial",0.00577903373336158,0.00216667538861908,2.66723560147365,0.00766866118905972
"PriceFinal",-0.00233877541369474,0.00240091153738107,-0.974119777959786,0.330036958755319
"SupportEmail",-0.0227913349632154,0.0233452374963388,-0.976273424795516,0.328968964353506
"SupportURL",-0.0391874366188473,0.018031436952355,-2.17328417709545,0.0297985374505047
"AboutText",0.426774427467356,0.359591806274035,1.18683023367369,0.235342318825958
"Background",0.784029318762918,0.309010774145495,2.53722324385287,0.0111990716147691
"ShortDescrip",0.0418657727759402,0.0301201233993491,1.38996020105432,0.164593339275208
"DetailedDescrip",-0.68042160166974,0.393543782295083,-1.72896036548115,0.0838684376371406
"DRMNotice",0.0251994583418667,0.0944575625560251,0.266780738989747,0.78964729742101
"ExtUserAcctNotice",-0.101900696106821,0.0773817662532542,-1.31685668395474,0.187937752991509
"LegalNotice",-0.0561442723585137,0.0177587160287477,-3.16150515992415,0.00157750036261816
"SupportedLanguages",0.0244883855790058,0.00199620111399535,12.2674941955087,3.51829752965775e-34
"Recommendations",6.82537314631226e-07,3.16691682992002e-07,2.15521073424737,0.0311856277383661
"Disapproval",-7.86440514061098e-07,2.25916344545829e-06,-0.348111384168383,0.727768939684416
"Day",-0.00180813289158814,0.000919532671667501,-1.96636068222485,0.0493037151441334
"Month",-0.0192524247581045,0.00257885442012381,-7.46549499183449,9.50103752598395e-14
"Year",-0.151849473827127,0.00603169035474418,-25.1752767294645,6.16649712065044e-133
"AgeRating",0.0044556622495332,0.0476318496090886,0.0935437587685661,0.925474760108212
"NoCategory",-0.345929347955082,0.164639950141985,-2.1011264134662,0.0356721328123017
